Date,Hour,Requests,Completes,Supply Hours,Time On Trip,pETA,aETA,Delivered Products,Total Products Available
9/1/2013,11,79,55,42.63,20.43,5.51,7.19,103,159
,12,73,41,36.43,15.53,5.48,8.48,4,8
,13,54,50,23.02,17.76,5.07,8.94,5,9
9/2/2013,11,193,170,64.2,31.47,5.31,6.55,288,414
,12,258,210,80.28,38.68,4.94,6.08,7,65
,13,153,107,59.18,23.37,5.14,6.42,6,9
9/3/2013,11,124,34,30.67,19.65,6.7,8.19,67,129
,12,78,34,27.02,14.38,6.36,8.01,1,12
,13,36,15,20.82,12.62,7.82,9.05,4,5
9/4/2013,11,98,43,29.17,16.55,6.99,8.32,44,100
,12,67,39,24.42,13.87,6.48,7.56,2,40
,13,34,20,22.58,17.67,6.51,7.06,7,7
9/5/2013,11,184,167,58.32,25.03,4.84,5.65,312,359
,12,334,256,71.47,45.73,5.85,6.5,83,118
,13,264,109,43.83,29.68,7.27,8.25,9,9
9/6/2013,11,171,151,52.35,24.08,4.99,5.73,233,294
,12,275,222,73.83,44.43,6.12,7.24,10,25
,13,208,101,50.25,30.5,6.81,8.44,5,6
9/7/2013,11,342,298,74.43,47.6,5.83,6.59,528,596
,12,558,396,94.82,73.62,7.02,8.04,36,56
,13,532,340,59.02,39.57,7.83,8.9,3,3
9/8/2013,11,203,164,64.68,25.23,4.34,4.9,397,445
,12,408,257,65.58,44.55,5.7,6.89,19,22
,13,354,100,27.5,19.63,7.36,9.04,3,7
9/9/2013,11,213,155,52,29.55,6.5,7.8,344,400
,12,318,187,54.33,42.57,6.88,8.61,123,190
,13,372,120,29.12,23.03,7.06,8.15,4,9
9/10/2013,11,49,44,31.48,13.95,6.34,7.66,49,103
,12,48,38,25.45,13.92,6.82,8.23,27,108
,13,49,12,23.55,9.14,6.46,7.86,3,4
9/11/2013,11,306,76,26.2,21.83,7.68,12.06,150,228
,12,209,34,19.18,15.85,7.43,8.05,1,44
,13,170,50,11.25,10.18,7.47,7.88,4,6
9/12/2013,11,185,155,57.8,21.95,4.5,4.61,274,368
,12,327,232,63.12,41.72,6.22,6.95,122,213
,13,304,107,48.92,26.77,6.28,7.07,4,8
9/13/2013,11,144,128,58.33,21.87,5.38,6.14,125,150
,12,379,166,56.37,34.75,6.78,7.9,45,75
,13,483,60,29.68,12.22,6.06,7.23,5,2
9/14/2013,11,317,250,70.88,35.78,5.39,6.09,270,541
,12,385,284,73.13,50.45,6.18,6.86,4,95
,13,185,123,52.52,31.32,5.98,6.7,179,276
9/15/2013,11,222,186,52.62,28.28,5.43,6.03,421,536
,12,409,267,59.82,52.52,6.89,8.42,52,79
,13,273,121,37.43,36.32,8.05,10.57,6,8
9/16/2013,11,158,136,54.55,20.72,4.7,4.91,262,341
,12,312,210,55.08,36.97,6.49,7.29,74,153
,13,222,91,32.98,26.48,7.39,8.55,4,5
9/17/2013,11,44,37,42.13,12.61,4.92,6.02,49,116
,12,41,35,26.32,12.52,6.21,7.3,9,15
,13,26,12,18.53,10.75,5.48,7.69,7,8
9/18/2013,11,85,56,43.95,15.82,5.39,6.47,45,108
,12,45,28,34.48,17.28,6.08,7.88,40,196
,13,32,27,49.9,16.95,6.37,6.67,6,8
9/19/2013,11,364,222,49.45,37.05,6.05,8.1,527,652
,12,389,268,65.17,58.22,5,8.43,233,352
,13,290,161,51.85,39.18,5.69,7.7,45,51
9/20/2013,11,292,218,73.4,28.22,4.79,5.98,456,580
,12,482,260,61.62,41.58,5.01,7.11,123,150
,13,453,71,33.08,23.02,2.43,8.1,5,6
9/21/2013,11,328,266,77.1,40.48,5.13,6.22,719,984
,12,528,420,104.1,66.92,5.35,6.78,84,159
,13,323,156,71.85,35.37,3.94,6.95,5,19
9/22/2013,11,306,269,95.33,34.56,4.4,5.26,460,786
,12,469,376,118.93,57.05,4.97,5.65,138,306
,13,285,215,85.62,40.65,5.4,6.33,4,8
9/23/2013,11,236,183,67,29.75,5.06,6.2,445,610
,12,382,260,71.85,47.82,5.97,8.24,108,212
,13,242,130,48.73,37.62,6.92,9.6,6,8
9/24/2013,11,53,33,30.83,12.72,6.38,7.57,85,120
,12,89,34,27.92,12.22,4.09,7.28,5,35
,13,56,35,23.13,9.05,3.7,8.71,2,4
9/25/2013,11,41,37,36.7,11.07,6.15,6.54,38,112
,12,26,18,32.23,11.03,5.28,6.44,17,19
,13,15,6,27.93,15.76,5.39,6.13,5,6
9/26/2013,11,115,60,40.32,15.42,4.35,6.59,101,226
,12,102,68,47.72,14.47,4.42,5.86,21,134
,13,62,52,39.4,14.7,5.55,6.28,5,9
9/27/2013,11,366,300,63.13,22.22,2.52,5.49,395,546
,12,426,296,74.97,48.68,5.4,6.91,119,252
,13,233,130,59.62,31.67,5.22,7.33,9,17
9/28/2013,11,308,266,67.18,42.72,6.01,6.89,594,808
,12,428,361,95.07,50.15,4.88,5.3,97,170
,13,233,140,59.58,30.17,4.69,6.37,8,12
9/29/2013,11,302,240,84.85,37.03,5.13,6.51,579,905
,12,378,306,99.07,52.02,5.75,6.6,147,280
,13,321,149,76.9,30.55,5.86,6.42,6,36
9/30/2013,11,180,151,68.33,24.87,5.21,6.07,317,499
,12,307,247,78.25,45.78,5.75,6.71,60,130
,13,215,275,56.83,29.13,5.35,7.59,2,5
