"ID","Date Created","Vector","Weight","Source","Created By"
"122:6","Mon Feb 08 11:14:58 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"124:10","Mon Feb 08 11:19:51 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"123:10","Mon Feb 08 11:19:51 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"122:10","Mon Feb 08 11:19:51 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:10","Mon Feb 08 11:19:51 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"136:6","Mon Feb 08 11:19:48 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"135:6","Mon Feb 08 11:19:45 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"134:6","Mon Feb 08 11:19:37 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"133:6","Mon Feb 08 11:19:37 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"132:7","Mon Feb 08 11:19:33 UTC 2021","207","21.9317","Probabilistic Matching Algorithm","admin"
"131:7","Mon Feb 08 11:19:05 UTC 2021","207","21.9317","Probabilistic Matching Algorithm","admin"
"130:8","Mon Feb 08 11:18:59 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"129:8","Mon Feb 08 11:18:57 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"128:8","Mon Feb 08 11:18:50 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"127:9","Mon Feb 08 11:18:50 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"126:9","Mon Feb 08 11:18:49 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"125:9","Mon Feb 08 11:18:47 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"124:9","Mon Feb 08 11:18:46 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"123:9","Mon Feb 08 11:18:46 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"122:9","Mon Feb 08 11:18:43 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:9","Mon Feb 08 11:18:43 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"136:5","Mon Feb 08 11:18:36 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"135:5","Mon Feb 08 11:18:30 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"134:5","Mon Feb 08 11:18:30 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"133:5","Mon Feb 08 11:18:28 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"132:6","Mon Feb 08 11:18:22 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"131:6","Mon Feb 08 11:18:18 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"130:7","Mon Feb 08 11:18:18 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"129:7","Mon Feb 08 11:18:07 UTC 2021","207","21.9317","Probabilistic Matching Algorithm","admin"
"128:7","Mon Feb 08 11:18:04 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"127:8","Mon Feb 08 11:17:28 UTC 2021","223","25.589","Probabilistic Matching Algorithm","admin"
"126:8","Mon Feb 08 11:17:24 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"125:8","Mon Feb 08 11:17:24 UTC 2021","223","25.589","Probabilistic Matching Algorithm","admin"
"124:8","Mon Feb 08 11:17:24 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"123:8","Mon Feb 08 11:17:20 UTC 2021","207","21.9317","Probabilistic Matching Algorithm","admin"
"121:8","Mon Feb 08 11:17:13 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"136:4","Mon Feb 08 11:17:09 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"135:4","Mon Feb 08 11:17:08 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"134:4","Mon Feb 08 11:17:07 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"133:4","Mon Feb 08 11:17:06 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"131:5","Mon Feb 08 11:17:05 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"130:6","Mon Feb 08 11:17:03 UTC 2021","127","24.9104","Probabilistic Matching Algorithm","admin"
"129:6","Mon Feb 08 11:17:02 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"128:6","Mon Feb 08 11:16:58 UTC 2021","223","25.589","Probabilistic Matching Algorithm","admin"
"127:7","Mon Feb 08 11:16:50 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"126:7","Mon Feb 08 11:16:50 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"125:7","Mon Feb 08 11:16:47 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"124:7","Mon Feb 08 11:16:43 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"123:7","Mon Feb 08 11:16:43 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"122:7","Mon Feb 08 11:16:43 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:7","Mon Feb 08 11:16:37 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"136:3","Mon Feb 08 11:16:34 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"135:3","Mon Feb 08 11:16:33 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"134:3","Mon Feb 08 11:15:58 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"132:4","Mon Feb 08 11:15:49 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"131:4","Mon Feb 08 11:15:49 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"130:5","Mon Feb 08 11:15:46 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"129:5","Mon Feb 08 11:15:42 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"128:5","Mon Feb 08 11:15:35 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"127:6","Mon Feb 08 11:15:16 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"126:6","Mon Feb 08 11:15:16 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"125:6","Mon Feb 08 11:15:16 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"124:6","Mon Feb 08 11:15:13 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"123:6","Mon Feb 08 11:15:04 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:11","Mon Feb 08 11:20:26 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:12","Mon Feb 08 11:21:31 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:13","Mon Feb 08 11:22:59 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:14","Mon Feb 08 11:23:20 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:15","Mon Feb 08 11:23:48 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:16","Mon Feb 08 11:24:53 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"121:17","Mon Feb 08 11:28:00 UTC 2021","207","22.4661","Probabilistic Matching Algorithm","admin"
"121:18","Mon Feb 08 11:30:41 UTC 2021","207","22.4661","Probabilistic Matching Algorithm","admin"
"121:19","Mon Feb 08 11:33:44 UTC 2021","207","22.4661","Probabilistic Matching Algorithm","admin"
"121:20","Mon Feb 08 11:38:47 UTC 2021","174","20.975","Probabilistic Matching Algorithm","admin"
"121:21","Mon Feb 08 11:42:03 UTC 2021","174","20.975","Probabilistic Matching Algorithm","admin"
"121:22","Mon Feb 08 11:44:54 UTC 2021","207","22.4661","Probabilistic Matching Algorithm","admin"
"121:23","Mon Feb 08 11:47:04 UTC 2021","174","20.975","Probabilistic Matching Algorithm","admin"
"121:24","Mon Feb 08 11:48:34 UTC 2021","174","20.975","Probabilistic Matching Algorithm","admin"
"121:25","Mon Feb 08 11:50:17 UTC 2021","238","24.5711","Probabilistic Matching Algorithm","admin"
"122:11","Mon Feb 08 11:20:26 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
"122:12","Mon Feb 08 11:21:35 UTC 2021","222","22.5952","Probabilistic Matching Algorithm","admin"
