City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Hyderabad,UberGo,COMPLETED,2020-06-21 08:12:22 +0000 UTC,2020-06-21 08:20:46 +0000 UTC,17.4559694,78.4789277,"Bowenpally, Secunderabad, Telangana 500011, India",2020-06-21 08:54:26 +0000 UTC,17.3725727,78.4992879,"Shop No. 16-8-992, Beside Government Hospital, Nalgonda Cross Road, Officers Colony, Chanchalguda, Hyderabad, Telangana 500036, India",8.48,235.15,INR
Hyderabad,UberXL,CANCELED,2020-06-21 07:54:49 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,17.5054852545,78.4985833217,,1970-01-01 00:00:00 +0000 UTC,17.5054775245,78.4985858225,"Shop No. 16-8-992, Beside Government Hospital, Nalgonda Cross Road, Officers Colony, Chanchalguda, Hyderabad, Telangana 500036, India",0.00,0,INR
Hyderabad,UberGo,CANCELED,2020-06-12 14:34:26 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,17.4222319081,78.4626689104,,1970-01-01 00:00:00 +0000 UTC,17.427310876,78.4574216455,"Bowenpally,, New Bowenpally, Secunderabad, Telangana 500009, India",0.00,0,INR
Hyderabad,Moto,CANCELED,2020-06-12 14:29:37 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,17.4184375179,78.4620667188,,1970-01-01 00:00:00 +0000 UTC,17.41999282,78.4621678675,"Bowenpally,, New Bowenpally, Secunderabad, Telangana 500009, India",0.00,0,INR
Hyderabad,Moto,COMPLETED,2020-03-20 05:11:19 +0000 UTC,2020-03-20 05:20:53 +0000 UTC,17.455965,78.4790367,"Bowenpally, Secunderabad, Telangana 500011, India",2020-03-20 05:37:19 +0000 UTC,17.4302746,78.456124,"4th Floor, Oasis Center, Above Splash, Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082, India",4.38,64.71,INR
Hyderabad,Moto,COMPLETED,2020-03-19 05:11:26 +0000 UTC,2020-03-19 05:19:34 +0000 UTC,17.4561758,78.4792527,"Bowenpally, Secunderabad, Telangana 500011, India",2020-03-19 05:35:25 +0000 UTC,17.4302825,78.4561008,"4th Floor, Oasis Center, Above Splash, Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082, India",4.35,70.12,INR
Hyderabad,Moto,COMPLETED,2020-03-18 05:07:41 +0000 UTC,2020-03-18 05:15:53 +0000 UTC,17.4561267,78.4792133,"Bowenpally, Secunderabad, Telangana 500011, India",2020-03-18 05:37:49 +0000 UTC,17.4302883,78.4561233,"4th Floor, Oasis Center, Above Splash, Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082, India",4.57,68.48,INR
Hyderabad,Moto,COMPLETED,2020-03-17 05:07:44 +0000 UTC,2020-03-17 05:19:06 +0000 UTC,17.4562199,78.4791849,"Bowenpally, Secunderabad, Telangana 500011, India",2020-03-17 05:38:17 +0000 UTC,17.4303471,78.456073,"4th Floor, Oasis Center, Above Splash, Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082, India",4.34,70.66,INR
Hyderabad,Moto,COMPLETED,2020-03-16 05:08:31 +0000 UTC,2020-03-16 05:20:09 +0000 UTC,17.4565102,78.4789946,"Bowenpally, Hyderabad, Telangana 500011, India",2020-03-16 05:41:35 +0000 UTC,17.4302676,78.4561499,"4th Floor, Oasis Center, Above Splash, Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082, India",4.68,69.92,INR
Hyderabad,Moto,COMPLETED,2020-03-14 18:00:47 +0000 UTC,2020-03-14 18:02:33 +0000 UTC,17.4435389,78.4872082,"Mahatma Gandhi Rd, Paigah Colony, Secunderabad, Telangana 500016, India",2020-03-14 18:07:43 +0000 UTC,17.455913,78.4790021,"Bowenpally,, New Bowenpally, Secunderabad, Telangana 500009, India",1.47,16.26,INR
Hyderabad,Moto,COMPLETED,2020-03-14 13:50:20 +0000 UTC,2020-03-14 13:57:41 +0000 UTC,17.4564359,78.4793475,"Bowenpally, Hyderabad, Telangana 500011, India",2020-03-14 14:04:48 +0000 UTC,17.4434625,78.4877353,"Sardar Patel Road, NCC Ground, Gunrock Enclave, Secunderabad, Telangana 500003, India",1.47,26.02,INR
Hyderabad,Moto,COMPLETED,2020-03-12 05:04:20 +0000 UTC,2020-03-12 05:14:50 +0000 UTC,17.4559721,78.4792036,"Bowenpally, Secunderabad, Telangana 500011, India",2020-03-12 05:33:01 +0000 UTC,17.4302692,78.4561519,"4th Floor, Oasis Center, Above Splash, Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082, India",4.37,66.85,INR
Hyderabad,Moto,CANCELED,2020-03-11 15:20:25 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Bowenpally,, New Bowenpally, Secunderabad, Telangana 500009, India",0.00,0,INR
